ID,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
A114001,2010-04-14 06:11:29 UTC,-73.991284,40.732523,-73.980781,40.775707,1
A114002,2010-04-22 07:42:35 UTC,-73.988276,40.723423,-73.977554,40.738025,1
A114003,2010-04-13 01:08:27 UTC,-73.993988,40.751245,-73.956783,40.777763,1
A114004,2010-04-13 10:21:20 UTC,-73.970086,40.761971,-73.946232,40.773781,1
A114005,2010-04-24 18:06:19 UTC,-73.997839,40.736098,-73.98604,40.735053,1
A114006,2010-04-24 19:32:54 UTC,-73.972959,40.758835,-73.992022,40.740769,1
A114007,2010-04-14 17:51:06 UTC,-73.98463,40.763936,-73.982701,40.735451,1
A114008,2010-04-23 15:30:25 UTC,-73.973502,40.763532,-73.980966,40.757674,1
A114009,2010-04-21 18:36:15 UTC,-73.989842,40.754369,-73.977146,40.763803,1
A114010,2010-04-15 21:40:00 UTC,-73.995437,40.73916,-74.005932,40.74375,1
A114011,2010-04-22 00:28:00 UTC,-73.999997,40.761637,-73.955927,40.74603,1
A114012,2010-04-24 23:54:39 UTC,-73.976107,40.744828,-73.992057,40.721697,1
A114013,2010-04-18 13:13:44 UTC,-73.97797,40.754487,-73.960833,40.778209,1
A114014,2010-04-11 10:40:54 UTC,-73.975805,40.748722,-73.98508,40.744027,1
A114015,2010-04-19 18:34:34 UTC,-73.986615,40.746898,-73.993156,40.749793,2
A114016,2010-04-16 20:52:18 UTC,-73.986616,40.7528,-73.991772,40.754107,1
A114017,2010-04-16 17:57:59 UTC,-73.972751,40.749069,-73.996439,40.725445,1
A114018,2010-04-20 08:23:14 UTC,-73.985908,40.743882,-73.977122,40.739364,2
A114019,2010-04-18 15:29:19 UTC,-73.981847,40.770167,-73.977294,40.776701,1
A114020,2010-04-21 17:01:48 UTC,-73.997971,40.756409,-73.97838,40.75149,2
A114021,2010-04-12 08:13:22 UTC,-74.006058,40.706348,-74.008789,40.702431,1
A114022,2010-04-21 08:30:58 UTC,-73.865832,40.771129,-73.900707,40.74591,1
A114023,2010-04-22 22:25:18 UTC,-73.965428,40.790742,-73.980598,40.775662,1
